Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
7/21/2020 8:14:56,,Missing Maps Berlin,Online, https://www.eventbrite.de/e/missing-maps-online-mapathon-tickets-113064821926, https://www.eventbrite.de/e/missing-maps-online-mapathon-tickets-113064821926,2020-07-22,1900,2200,Germany [DE],,,
7/21/2020 9:42:24,,Test Mapathon,Virtual Event,https://www.openstreetmap.org,http://www.facebook.com,2020-07-21,12:00,12:30,United States of America [US],,,
7/23/2020 7:57:56,,HPE Sofia Maps,"Sofia, Bulgaria - online event",https://tasks.hotosm.org/projects/4785,https://tasks.hotosm.org/projects/4785,2020-23-07,17 GMT,19:30 GMT,Bulgaria [BG],,,
7/24/2020 4:36:01,,Summer Mapathon,Bonn (online),https://www.openstreetmap.org/relation/3134141,https://www.facebook.com/events/3168894903178158/?action_history=%22[%7B%5C%22surface%5C%22%3A%5C%22messaging%5C%22%2C%5C%22mechanism%5C%22%3A%5C%22attachment%5C%22%2C%5C%22extra_data%5C%22%3A%7B%7D%7D]%22,2020-07-27,17:00,19:00,Germany [DE],,,
7/25/2020 19:24:25,,DUCOM Missing Maps,Online,https://www.openstreetmap.org/#map=16/40.0199/-75.1783&layers=H,https://drexelprivate.zoom.us/j/96162077630 ,2020-07-29,19:00,20:00,United States of America [US],,,
7/30/2020 2:45:17,,Missing Maps Berlin,Online,https://www.openstreetmap.org/, https://www.eventbrite.de/e/missing-maps-online-mapathon-einfuhrung-josm-tickets-114390565260,2020-08-05,19:00,22:00,Germany [DE],,,
8/1/2020 15:27:21,,Missing Maps Cambridge,Online,https://www.openstreetmap.org/way/58821394,https://www.eventbrite.co.uk/e/missing-maps-august-joint-online-mapathon-cambridge-tickets-75289126805,2020-08-04,19:00,22:00,United Kingdom of Great Britain and Northern Ireland [GB],,,
8/2/2020 22:21:55,,Desautels Mapathon 2020,From your couch,https://www.openstreetmap.org/,https://bit.ly/Mapathon2020,2020-08-14,9:00am EST,11:00am EST,Canada [CA],,,
8/6/2020 5:21:39,,Missing Maps Berlin,Online, https://openstreetmap.org,https://www.eventbrite.de/e/missing-maps-online-mapathon-tickets-115975308269,2020-08-19,19:00,22:00,Germany [DE],,,
8/7/2020 9:27:51,,Missing Maps London,Online,https://www.openstreetmap.org/,https://www.eventbrite.co.uk/e/missing-maps-september-mapathon-tickets-116208102563,2020-09-01,19:00,22:00,United Kingdom of Great Britain and Northern Ireland [GB],,,
8/10/2020 11:47:29,,Deloitte Impact Day - Boston,Boston,https://www.openstreetmap.org/,https://www.philanthropycloud.com/view/1755069/Deloitte-or-New-England-American-Red-Cross-Mapathon,2020-08-21,2:00 PM,4:00 PM,United States of America [US],,,
8/10/2020 20:12:13,,University of Minnesota Alumni,"Milwaukee, WI",https://www.openstreetmap.org/,https://www.umnalumni.org/s/1867/18/interior-wide.aspx?sid=1867&gid=2&sitebuilder=1&pgid=991&cid=2881&ecid=2881&crid=0&calpgid=791&calcid=2880,2020-09-19,10:00 am,12:00 pm,United States of America [US],,,
8/13/2020 6:02:44,,Srpnový Missing Maps mapathon,online,https://www.openstreetmap.org/search?query=Prague#map=12/50.0880/14.4208&layers=H,https://www.eventbrite.co.uk/e/srpnovy-missing-maps-mapathon-tickets-116431400453,2020-08-25,18:00,20:00,Czechia [CZ],,,
8/19/2020 9:46:57,,HOT 10 YEAR ANNIVERSARY GLOBAL MAPATHON EVENT,Online,https://www.eventbrite.com/e/115753446675/,https://www.eventbrite.com/e/115753446675/,2020-08-20,multiple times,multiple times,This is an event for remote participation only [XX],,,
8/20/2020 9:19:22,,Mapathon Missing Maps CartONG,Lyon,https://www.openstreetmap.org/node/3837100089,https://www.eventbrite.ca/e/billets-en-presentiel-mapathon-missing-maps-a-lyon-letuba-117619421857,2020-09-01,18:30,21:30,France [FR],,,
8/23/2020 11:53:24,,Hereford mapping for the lads,My house,https://www.openstreetmap.org/#map=19/52.04846/-2.68469&layers=N,https://discord.gg/YmRRJPd,2020-08-28,10:30,9:30,United Kingdom of Great Britain and Northern Ireland [GB],,,
8/31/2020 15:21:43,,Map For Future Online,Rome,https://www.openstreetmap.org/relation/41485,https://www.romaltruista.it/detail_volunteer_opportunities/35906,2020-09-16,18.3,19.3,Italy [IT],,,
9/1/2020 5:43:51,,Mapathon Missing Maps CartONG,Lyon,https://www.openstreetmap.org/node/6802042209,https://www.eventbrite.ca/e/billets-en-presentiel-mapathon-missing-maps-a-chambery-o79-117628314455,2020-09-09,18:30,21:30,France [FR],,,
9/1/2020 18:09:22,,University of Miami Beta Alpha Psi Mapathon,Virtually (on Zoom),https://www.openstreetmap.org/,https://docs.google.com/forms/d/e/1FAIpQLSdH4rjQaZGjxHBDkCpvrh2D9ILz1bnFRZplog9l-iVyUbNeYQ/viewform?vc=0&c=0&w=1&flr=0,2020-09-13,7 PM,9 PM,United States of America [US],,,
9/4/2020 12:01:51,,Missing Maps London,Online,https://www.openstreetmap.org/,https://www.eventbrite.co.uk/e/missing-maps-october-mapathon-tickets-119219997221,2020-10-06,19:00,21:15,United Kingdom of Great Britain and Northern Ireland [GB],,,
9/6/2020 10:35:39,,Missing Maps mapathon Bratislava #9,Institute of Geography of Slovak Academy of Sciences,https://www.openstreetmap.org/?mlat=48.15492&mlon=17.10585#map=19/48.15492/17.10585,https://www.eventbrite.co.uk/e/missing-maps-mapathon-bratislava-9-tickets-119783701275?aff=missingmapsorg,2020-09-24,17:00,20:00,Slovakia [SK],,,
9/10/2020 8:33:51,,USAA F&RB,Virtual,https://www.openstreetmap.org,https://www.openstreetmap.org,2020/09/10,12,11,United States of America [US],,,
9/14/2020 4:30:00,,Missing Maps Berlin,Online,https://www.openstreetmap.org/,https://www.eventbrite.de/e/missing-maps-online-mapathon-tickets-120352663055,2020-09-23,1900,2200,Germany [DE],,,
9/14/2020 4:31:04,,Fachtagung Katastrophenvorsorge Missing Maps Mapathon,Online,https://www.openstreetmap.org/,https://www.eventbrite.de/e/fachtagung-katastrophenvorsorge-missing-maps-online-mapathon-tickets-117641381539,2020-10-19,1800,2000,Germany [DE],,,
9/14/2020 4:32:03,,Humanitarian Congress Berlin - Missing Maps Mapathon,Online,https://www.openstreetmap.org/,https://www.eventbrite.de/e/humanitarian-congress-berlin-missing-maps-mapathon-tickets-117638527001,2020-10-29,19:30,21:30,Germany [DE],,,
9/14/2020 6:29:21,,Missing Maps Cambridge,Online,https://www.openstreetmap.org/way/58821394,https://www.eventbrite.com/e/missing-maps-october-joint-online-mapathon-cambridge-tickets-120970737733,2020-10-06,19:00,21:15,United Kingdom of Great Britain and Northern Ireland [GB],,,
9/15/2020 7:23:58,,Missing Maps Zürich September Mapathon,Zürich,https://www.openstreetmap.org/way/39425222,https://www.meetup.com/de-DE/Missing-Maps-Zurich/,2020-09-30,19:00,21:00,Switzerland [CH],,,
9/18/2020 14:13:20,,Doctors Without Borders USA September Mapathon,Virtual,https://www.openstreetmap.org/#map=5/38.007/-95.844,https://doctorswithoutborders.zoom.us/webinar/register/WN_6s0J4L3uSx2mBK8qZHUChw,2020-09-24,18:00 EDT,20:00 EDT,United States of America [US],,,
9/22/2020 12:30:48,,FedEx Cares - North Lakes District,Virtual,https://tasks.hotosm.org/,https://tasks.hotosm.org/,2020-10-08,1:00pm,4:00pm,United States of America [US],,,
9/23/2020 4:50:42,,Zářijový mapathon v Praze,Prague,https://www.openstreetmap.org/node/296648331, https://www.eventbrite.co.uk/e/zarijovy-mapathon-v-praze-tickets-121159071043,2020-09-29,18:30,20:30,Czechia [CZ],,,
9/23/2020 17:50:43,,Map For Future Rome,Online,https://www.openstreetmap.org/,https://www.romaltruista.it/detail_volunteer_opportunities/36030,2020-10-07,18:00,19:00,Italy [IT],No,,
9/28/2020 12:44:00,,MA GIS Day 2020,"Amherst, MA",https://www.openstreetmap.org/note/1367448#map=14/42.3904/-72.5144,https://www.gisday.com/en-us/overview#global-events,2020-11-18,9am,8pm,United States of America [US],Yes,,
9/29/2020 8:21:24,,Missing Maps Chambéry,"LA DYNAMO 24 Avenue Daniel Rops, 73000 Chambéry",https://www.openstreetmap.org/way/110779064,https://www.eventbrite.ca/e/billets-en-presentiel-mapathon-missing-maps-a-chambery-ladynamo-122960806081?ref=enivtefor001&invite=MTk5NzM5NTMva19ncmVlbkBjYXJ0b25nLm9yZy8w%0A&utm_source=eb_email&utm_medium=email&utm_campaign=inviteformalv2&utm_term=eventpage,2020-10-06,18:30,21:30,France [FR],No,,
9/30/2020 7:51:37,,Centeral Pennsylvania GIS Day - Humanitarian Maping,Virtually in the Central Pennsylvania area,https://www.openstreetmap.org/search?query=harrisburg%20university#map=19/40.26187/-76.88041,https://storymaps.arcgis.com/stories/f0c19a8b7f3f4c3e87a78950cf7c0c0c,11/18/20,3pm,5pm,United States of America [US],Yes,,
9/30/2020 11:51:59,,OpenStreetMap US Mappy Hour,Virtually,https://osmus.civicrm.org/civicrm/event/info?id=12&reset=1,https://osmus.civicrm.org/civicrm/event/info?id=12&reset=1,2020-11-18,8:30pm ET,9:30pm ET,United States of America [US],Yes,,
9/30/2020 15:23:38,,Smith Debnam/Red Cross 2020 Mapathon,"Raleigh, NC",https://www.openstreetmap.org/way/47714602#map=19/35.84332/-78.64409,https://www.eventbrite.com/e/sdarc-2020-missingmapsorg-mapathon-tickets-123386124219,2020-10-16,4:00 pm,5:30 pm,United States of America [US],No,,
10/1/2020 8:13:52,,Ulm Neu-Ulm/COVID-19-Mapathon,Ulm,http://www.openstreetmap.org/?mlat=48.39651&mlon=9.99042&zoom=18&layers=M,https://wiki.openstreetmap.org/wiki/Ulm_Neu-Ulm/COVID-19-Mapathon,2020-10-01,19:00,21:00,Germany [DE],No,,
10/4/2020 12:30:00,,Portland Mapathon,Remote,https://www.eventbrite.com/e/missing-maps-mapathon-tickets-122174652675,https://www.eventbrite.com/e/missing-maps-mapathon-tickets-122174652675,2020-10-09,3:30,5:00,United States of America [US],No,,
10/5/2020 18:24:04,,Back to Uni Mapathon,Bonn (Virtually),https://www.openstreetmap.org/search?query=Bonn#map=12/50.7036/7.1166,https://www.facebook.com/events/2712018009086048/,2020-10-21,17:00,19:00,Germany [DE],No,,
10/6/2020 9:45:56,,ICL Hindu Society's Mapathon,Imperial College London + online on zoom,https://www.openstreetmap.org/way/110085231#map=17/51.49863/-0.17450,https://fb.me/e/1B3Wm9Vmb,2020-10-18,2pm,5pm,United Kingdom of Great Britain and Northern Ireland [GB],No,,
10/6/2020 14:07:26,,#GlobalLeaders Mapathon,Zoom,https://www.google.com/url?q=https://www.openstreetmap.org/&sa=D&ust=1601997277390000&usg=AFQjCNFJCgqXjrUFDxLTCXcSqqg_idavzw,https://nam10.safelinks.protection.outlook.com/?url=https%3A%2F%2Fokstate.forms-db.com%2Fview.php%3Fid%3D631365%26mf_page%3D1&data=02%7C01%7Cemma.whiddon%40redcross.org%7C0fe47964c4314e2d20f408d8697c29ae%7Cdd5b5d42c0d34ad2b5f160edb3af2771%7C0%7C1%7C637375329281488746&sdata=oo%2B370bbfaz8DZtTUsqbdpyrUdm7fnTd%2BKEO9xLWX6M%3D&reserved=0,2020-10-24,9 Am,10:30 am,United States of America [US],No,,
10/6/2020 15:34:00,,Missing Maps Zürich November Mapathon,Zürich,https://www.openstreetmap.org/way/39425222,https://www.meetup.com/de-DE/Missing-Maps-Zurich/,2020-11-28,19:00,21:00,Switzerland [CH],No,,
10/6/2020 15:41:49,,Missing Maps Zürich October Online-Mapathon,Zürich,https://www.openstreetmap.org/way/39425222,https://www.meetup.com/de-DE/Missing-Maps-Zurich/,2020-10-28,19:00,21:00,Switzerland [CH],No,,
10/8/2020 4:51:41,,Hewlett Packard Enterprise - BPI Mapathon,Virtual - Zoom,https://tasks.hotosm.org/projects/8722/,https://hpe.zoom.us,2020-10-16,10:00 am (IST),12:00 pm (IST),India [IN],No,,
10/8/2020 6:55:34,,Missing Maps mapathon Žilina #9,Slovak Red Cross – Žilina region,https://www.openstreetmap.org/?mlat=49.22170&mlon=18.74822#map=19/49.22170/18.74822,https://www.eventbrite.co.uk/e/missing-maps-mapathon-zilina-9-tickets-122865922281?aff=missingmapsorg,2020-10-22,17:00,20:00,Slovakia [SK],No,,
10/8/2020 8:18:40,,Missing Maps Grenoble October Mapathon,Grenoble,https://www.openstreetmap.org/node/6409086528,https://www.festival-transfo.fr/evenement/615/74-mapathon-missing-maps-pour-cartographier-ensemble-des-regions-du-monde.htm,2020-10-14,18:30,21:00,France [FR],No,,
10/8/2020 18:41:59,,Nelson Mapathon,Cawthron Institute Nelson,https://www.openstreetmap.org/node/5631326088,https://www.eventbrite.com/e/nelson-nz-mapathon-tickets-124634881285,2020-10-29,5.15pm,8.00 pm,New Zealand [NZ],No,,
10/12/2020 8:12:00,,Missing Maps London,London,https://www.openstreetmap.org/,https://www.eventbrite.co.uk/e/missing-maps-november-mapathon-tickets-124991656409,2020-11-03,19:00,21:15,United Kingdom of Great Britain and Northern Ireland [GB],No,,
10/13/2020 10:13:41,,RCSI FoMSF Missing Maps ,Dublin- Virtually ,https://www.openstreetmap.org/way/129750572#map=19/53.33916/-6.26270,https://docs.google.com/forms/d/199S2XpeRznoyccP8ut2WvAR3aeCOImi8OMlb7QGqauk/viewform?edit_requested=true,2020-10-21,7:00pm,9:00pm ,Ireland [IE],No,,
10/15/2020 15:39:40,,University of Miami Beta Alpha Psi Mapathon,Virtually,https://www.openstreetmap.org/,https://docs.google.com/forms/d/e/1FAIpQLSfq0FYW6lFgpCnW_QU91Fjd-C8UT5Ox5idpIgM8kVQ0c9CZDw/viewform?vc=0&c=0&w=1&flr=0,2020-10-25,7 PM,9 PM,United States of America [US],No,,
10/15/2020 15:43:41,,University of Miami Beta Alpha Psi Mapathon,Virtual,https://www.openstreetmap.org/,https://docs.google.com/forms/d/e/1FAIpQLSfq0FYW6lFgpCnW_QU91Fjd-C8UT5Ox5idpIgM8kVQ0c9CZDw/viewform?vc=0&c=0&w=1&flr=0,2020-10-25,7 PM,9 PM,United States of America [US],No,,
10/19/2020 15:56:42,,SHPE Purdue Mapathon ,West Lafayette,https://www.openstreetmap.org/,https://docs.google.com/forms/d/e/1FAIpQLScNPrgUv4cA-NCgqwXzZs-BgTw-ZEw-qsfDxKX03OPG_3EMvw/viewform?usp=sf_link,2020-11-14,2:00 PM,4:00 PM (tentative),United States of America [US],No,,
10/21/2020 16:35:09,,Mapathon for Humanitarian Relief,"Virtually, Rutgers University",https://libcal.rutgers.edu/calendar/nblworkshops/mapathon,https://libcal.rutgers.edu/calendar/nblworkshops/mapathon,2020-11-18,3:00 EST,5:00 EST,United States of America [US],Yes,,
10/23/2020 8:56:00,,Miami University Mapathon,Online,https://www.openstreetmap.org/,https://sites.google.com/miamioh.edu/miamigisday2020/home,2020-11-18,10am US EST,4pm US EST,United States of America [US],Yes,,
10/24/2020 12:41:14,,Virtual GIS Day,"Rochester, NY",https://geotech-virtual-gis-day-kctcs.hub.arcgis.com/,https://geotech-virtual-gis-day-kctcs.hub.arcgis.com/app/049afc5553484f67857af3dccccc396a,2020-11-18,12,2,United States of America [US],Yes,,
10/26/2020 23:36:54,,GEOVOLUNTEERUB2020,Ulaanbaatar city,https://meet.jit.si/GeoVolunteerUB2020,https://www.facebook.com/groups/236356314097647,2020-11-18,11am,15pm,Mongolia [MN],Yes,,
10/28/2020 11:40:55,,German MSF Geo Week Mapathon,online,https://www.openstreetmap.org/#map=18/52.51186/13.41547&layers=N,https://www.aerzte-ohne-grenzen.de/event/geo-week-missing-maps-mapathon,2020-11-16,6:30 p.m.,8:30 p.m.,Germany [DE],Yes,,
10/28/2020 15:38:34,,LA Mapathon,Virtually,https://sites.google.com/view/lamapathon/osm-projects ,https://sites.google.com/view/lamapathon,2020-10-28 - 2020-10-30,10:00 AM,5:00 PM,United States of America [US],No,,
10/29/2020 7:27:53,,UCS Geography Enrichment Week Missing Maps Mapathon,"University College School, London",https://www.openstreetmap.org/#map=18/51.55305/-0.18132,https://classroom.google.com/c/MjAwNTA0Nzg4MTEw?cjc=bhnxjud,2020-11-09 - 2020-11-13,09:00,16:00,United Kingdom of Great Britain and Northern Ireland [GB],No,,
10/29/2020 13:17:01,,Geography Awareness Week,"Asia, Pacific, Latin America, Canada",https://www.openstreetmap.org/,https://fb.me/e/1NBreSiPv,2020-11-21 until 2020-11-22 based on time zones,8am,6pm,Philippines [PH],Yes,,
10/29/2020 14:03:16,,Career Panel for OSMGeoWeek 2020 (English),Virtual ,https://www.openstreetmap.org/,https://www.eventbrite.com/e/career-panel-for-osmgeoweek-2020-english-tickets-127366319089,2020-11-18,1pm,4pm,United States of America [US],Yes,,
10/29/2020 14:40:02,,How maps can help protect girls from Female Genital Mutilation,online, https://www.openstreetmap.org/,https://www.eventbrite.co.uk/e/how-mapping-can-help-protect-girls-from-female-genital-mutilation-tickets-127370132495,2020-11-16,17,18,United Kingdom of Great Britain and Northern Ireland [GB],Yes,,
10/29/2020 16:07:24,,Missing Maps mapathon Žilina #10,online,https://www.openstreetmap.org/,https://www.eventbrite.co.uk/e/missing-maps-mapathon-zilina-10-tickets-127367261909?aff=missingmapsorg,2020-11-05,17:00,20:00,Slovakia [SK],No,,
10/30/2020 3:55:37,,E+D BLR Microsoft ,Bengaluru,https://www.openstreetmap.org/,https://www.openstreetmap.org/,2020-10-30,2:00PM IST,3:00PM IST,India [IN],No,,
10/30/2020 10:39:12,,Nigeria SE4ALL Remote Mapathon,Virtually,https://www.openstreetmap.org/relation/192787#map=6/9.015/8.679,https://www.eventbrite.co.uk/e/nigeria-se4all-remote-mapathon-tickets-127445132823,2020-11-18,3pm ,7pm,Nigeria [NG],Yes,,
11/2/2020 11:31:17,,YouthMappers Virtual Validation Party,Virtually,https://www.openstreetmap.org/,https://bit.ly/YMValidation2020,2020-11-17,6:00pm ET,8:00pm ET,United States of America [US],Yes,,
11/2/2020 12:19:32,,Geography Awareness Week/GIS Happy Hour (DC),"Based in DC, Open to all geo folks.",https://zoom.us,https://www.eventbrite.com/e/geography-awareness-week-gis-happy-hour-tickets-127102181045,2020-11-19,7PM Eastern,8:30 PM Eastern,United States of America [US],Yes,,
11/2/2020 14:13:49,,GeoWeek,Africa,https://www.openstreetmap.org/,https://www.eventbrite.com/e/127749860271/,2020-11-19,11 AM CET,12 AM CET,Netherlands [NL],Yes,,
11/2/2020 20:37:31,,MSF Virtual Mapathon: Geo Week 2020 (EN),Zoom,https://www.eventbrite.com/e/msf-virtual-mapathon-geo-week-2020-en-tickets-127794884941?aff=global,https://www.eventbrite.com/e/msf-virtual-mapathon-geo-week-2020-en-tickets-127794884941?aff=global,2020-11-19,6:00pm,8:00pm,United States of America [US],Yes,,
11/3/2020 4:21:23,,Mapatón online Médicos Sin Fronteras,Evento Online,http://www.msf.es/mapaton,http://www.msf.es/mapaton,2020-11-18,17:30,20:00,Spain [ES],Yes,,
11/3/2020 5:13:28,,UN Map Marathon (Day 1),Remote,https://www.openstreetmap.org/node/5934281058#map=19/40.64949/17.94682,https://www.eventbrite.com/e/un-map-marathon-tickets-127846268631,2020-11-16,9 am GMT,11 am GMT,Italy [IT],Yes,,
11/3/2020 5:15:04,,UN Map Marathon (Day 2),Remote,https://www.openstreetmap.org/node/5934281058#map=19/40.64949/17.94682,https://www.eventbrite.com/e/un-map-marathon-tickets-127846268631,2020-11-17,11 am GMT,1 pm GMT,Italy [IT],Yes,,
11/3/2020 5:16:59,,UN Map Marathon (Day 3),Remote,https://www.openstreetmap.org/node/5934281058#map=19/40.64949/17.94682,https://www.eventbrite.com/e/un-map-marathon-tickets-127846268631,2020-11-18,1 pm GMT,3 pm GMT,Italy [IT],Yes,,
11/3/2020 5:18:04,,UN Map Marathon (Day 4),Remote,https://www.openstreetmap.org/node/5934281058#map=19/40.64949/17.94682,https://www.eventbrite.com/e/un-map-marathon-tickets-127846268631,2020-11-19,3 pm GMT,5 pm GMT,Italy [IT],Yes,,
11/3/2020 5:19:01,,UN Map Marathon (Day 5),Remote,https://www.openstreetmap.org/node/5934281058#map=19/40.64949/17.94682,https://www.eventbrite.com/e/un-map-marathon-tickets-127846268631,2020-11-20,5 pm GMT,7 pm GMT,Italy [IT],Yes,,
11/3/2020 6:52:32,,Mapathon Sans Frontières 2020 (GeoWeek2020),Online,https://msf.lu/fr/actualites/agenda/mapathons,https://www.eventbrite.com/e/inscription-mapathon-sans-frontieres-2020-geoweek2020-127175207469,2020-11-17,6PM,8PM,Luxembourg [LU],Yes,,
